    PID TTY          TIME CMD
   3015 ?        00:00:01 ibus-extension-
   3018 ?        00:00:00 ibus-portal
   3065 ?        00:00:00 gsd-printer
   3087 ?        00:00:00 Xwayland
   3100 ?        00:00:00 gvfsd-metadata
   3106 ?        00:00:03 snap-store
   3115 ?        00:00:00 xdg-desktop-por
   3126 ?        00:00:00 xdg-desktop-por
   3130 ?        00:00:00 tracker-miner-f
   3153 ?        00:00:03 ibus-engine-sim
   3160 ?        00:00:00 gjs
   3199 ?        00:00:00 gsd-xsettings
   3238 ?        00:00:01 gjs
   3282 ?        00:00:00 xdg-desktop-por
   3303 ?        00:00:00 ibus-x11
   3316 ?        00:00:00 VBoxClient
   3317 ?        00:00:00 VBoxClient
   3341 ?        00:00:00 VBoxClient
   3342 ?        00:00:00 VBoxClient
   3398 ?        00:00:00 fwupd
   4071 ?        00:00:00 kworker/u3:2
   4962 ?        00:00:00 update-notifier
   5301 ?        00:00:12 evince
   5308 ?        00:00:00 evinced
   5590 ?        00:00:00 kworker/0:2-events
   5947 ?        00:00:00 kworker/0:3-cgroup_release
   6059 ?        00:00:08 kworker/u2:3-events_unbound
  10080 ?        00:00:05 kworker/u2:0-events_power_efficient
  10091 ?        00:00:00 gnome-terminal
  10094 ?        00:00:00 gnome-terminal.
  10099 ?        00:00:04 gnome-terminal-
  10117 pts/0    00:00:00 bash
  10204 ?        00:00:01 kworker/u2:1-events_unbound
  10357 ?        00:00:01 nautilus
  10400 ?        00:00:00 gvfsd-recent
  10452 ?        00:00:00 kworker/u2:2-events_unbound
  10454 pts/0    00:00:00 operaciones.sh
  10455 pts/0    00:00:00 ps
